;0;1;2;3;4;5;6
0;8911b4c2ec3ffff;4554.566931471166;5;1;2;8;48
1;8911b4c2edbffff;3881.6649807495323;1;0;2;0;0
2;8911b4c2ecbffff;5089.322939511897;6;0;10;6;40
3;8911b4c21abffff;1615.2933565709977;3;0;7;0;0
4;8911b4c21afffff;2937.675647765285;3;0;0;8;0
5;8911b4c21bbffff;3359.321181758706;1;0;3;0;0
6;8911b4c2187ffff;642.236766350403;0;0;0;1;0
7;8911b4c218fffff;363.6211052465221;1;0;0;2;0
8;8911b4c21c7ffff;3736.47022031468;0;0;4;0;0
9;8911b4c211bffff;2286.2677734057834;5;3;5;13;46
10;8911b4c21cfffff;3595.2105789098646;3;1;8;7;30
11;8911b4c21c3ffff;4602.625691964603;5;0;4;3;8
12;8911b4c21d3ffff;2677.5145726743817;1;0;2;6;18
13;8911b4c21d7ffff;5450.7909182161;1;0;0;0;0
14;8911b4c218bffff;960.9999796579401;0;0;6;1;0
15;8911b4c2117ffff;624.4391830288337;0;0;3;1;0
16;8911b4c2153ffff;3034.5726274817225;1;0;1;2;0
17;8911b4c2157ffff;3428.8342903940293;0;0;5;0;0
18;8911b4c21cbffff;1788.9344419839488;1;1;3;8;16
19;8911b4c2143ffff;2467.931414886506;2;0;5;1;0
20;8911b4c2147ffff;4479.275227792308;1;0;2;3;10
21;8911b4c217bffff;707.5346655063227;0;0;5;2;6
22;8911b4c214fffff;3283.1091153972757;1;0;3;1;0
23;8911b4c2397ffff;2490.62592032553;0;0;3;5;12
24;8911b4c215bffff;2318.2979884104916;0;0;3;6;26
25;8911b4c214bffff;3600.5889883109385;1;0;0;3;6
26;8911b4c202fffff;3146.630970498096;3;0;4;3;2
27;8911b4c2393ffff;2670.155975602659;0;2;1;3;10
28;8911b4c2023ffff;4081.055624439363;1;0;3;3;2
29;8911b4c2077ffff;2919.6702049574014;1;0;2;0;0
30;8911b4c203bffff;3504.276849750793;4;0;3;8;4
31;8911b4c202bffff;2821.146382085572;1;0;5;6;20
32;8911b4c2027ffff;1349.8790691712604;4;1;2;3;12
33;8911b4c23b3ffff;398.55162073042624;2;1;1;1;0
34;8911b4c2383ffff;756.8111882365635;5;0;5;9;22
35;8911b4c2067ffff;2096.5419450589948;2;0;0;1;0
36;8911b4c239bffff;356.4228343901015;0;0;5;1;0
37;8911b4c059bffff;1047.5222694247566;3;2;8;4;32
38;8911b4c05d7ffff;2655.8698472737115;16;6;13;8;40
39;8911b4c0427ffff;1844.2366131933588;5;5;8;3;22
40;8911b4c042fffff;2196.8114815121203;8;11;13;2;0
41;8911b4c2e57ffff;2492.577732267753;0;0;1;4;4
42;8911b4c2e8bffff;2230.6536921775964;3;0;1;6;8
43;8911b4c2e13ffff;2663.193390316074;0;0;1;1;0
44;8911b4c2e17ffff;1741.7904246128412;0;0;0;3;12
45;8911b4c2ecfffff;2093.3737233704655;2;0;3;0;0
46;8911b4c2ed7ffff;1611.4696416715444;0;0;2;3;4
47;8911b4c2e53ffff;1970.3087182037211;2;2;1;6;4
48;8911b4c2ec7ffff;1595.630159699776;0;0;3;0;0
49;8911b4c2e1bffff;731.788271249193;3;2;11;6;4
50;8911b4c2e03ffff;782.5075886378324;3;0;3;1;0
51;8911b4c2e43ffff;525.0049795327647;0;0;3;0;0
52;8911b4c05cbffff;350.53668948400184;2;7;13;9;22
53;8911b4c04a3ffff;3183.362478104912;1;0;9;7;5
54;8911b4c05dbffff;2073.531643471111;4;6;8;5;26
55;8911b4c04a7ffff;979.8008906705752;6;1;11;4;24
56;8911b4c05c3ffff;2125.713329731243;3;5;7;11;66
57;8911b4c2113ffff;1065.5498485761348;2;0;0;0;0
58;8911b4c30b7ffff;1718.4455318677512;0;0;5;0;0
59;8911b4c357bffff;2633.289957842096;1;0;8;3;10
60;8911b4c354fffff;2601.399076603504;1;0;2;0;0
61;8911b4c356bffff;2565.1255235969675;1;1;2;6;20
62;8911b4c3543ffff;2018.1749776438244;4;1;3;10;24
63;8911b4c354bffff;500.009975947633;0;0;0;6;8
64;8911b4c30a7ffff;927.2325952349588;1;0;1;1;0
65;8911b4c2377ffff;2078.0042282330824;0;0;4;2;0
66;8911b4c233bffff;2622.069053527609;2;0;1;1;0
67;8911b4c2367ffff;1528.9824022583507;1;2;3;11;0
68;8911b4c232bffff;817.4230768460394;2;2;5;1;0
69;8911b4c2337ffff;374.22606576025896;1;2;6;4;0
70;8911b4c310fffff;1522.255015224206;1;1;2;0;0
71;8911b4c3103ffff;971.4619375992386;1;0;2;0;0
72;8911b4c311bffff;368.0128570423764;0;3;1;7;12
73;8911b4c310bffff;1435.22461285449;0;1;1;7;8
74;8911b4c3117ffff;1031.4879744596763;7;0;11;3;0
75;8911b4c3107ffff;974.3606685432821;1;0;1;0;0
76;8911b4c3173ffff;885.6614525798597;1;0;4;3;4
77;8911b4c3177ffff;1114.2805757420763;0;0;1;6;8
78;8911b4c21dbffff;1598.3415593006232;3;0;3;1;0
79;8911b4c1533ffff;1292.681845183718;0;0;2;0;0
80;8911b4c153bffff;1303.1199240104465;0;0;4;1;0
81;8911b4c1507ffff;2102.044613673342;1;2;7;4;16
82;8911b4c15abffff;378.10977665787124;2;2;1;3;16
83;8911b4c108bffff;1620.1642682150418;1;0;0;3;12
84;8911b4c10d7ffff;459.86187324123944;0;0;0;5;12
85;8911b4c10c7ffff;459.86177935042014;0;0;1;0;0
86;8911b4c2ad3ffff;5666.011160884298;3;1;4;7;22
87;8911b4c2e6bffff;5452.315031954224;4;0;2;0;0
88;8911b4c05a7ffff;4446.141897380783;4;2;5;0;0
89;8911b4c05a3ffff;4229.581240147002;0;0;4;0;0
90;8911b4c2e9bffff;280.2349959079642;1;1;0;4;0
91;8911b4c2e93ffff;285.89732677028707;3;0;2;6;40
92;8911b4c05b7ffff;3422.4815009664794;0;0;0;1;0
93;8911b4c15cfffff;1153.219907640637;2;0;4;2;1
94;8911b4c2e67ffff;5511.850326765939;0;0;0;0;0
95;8911b4c35c3ffff;2401.353721329258;6;0;5;3;0
96;8911b4d1b6bffff;5359.0591298404415;0;0;3;0;0
97;8911b4c353bffff;445.62244611167586;2;1;1;0;0
98;8911b4c350fffff;1406.6483899132816;0;0;1;3;16
99;8911b4c35d3ffff;4656.258605704492;4;1;3;1;0
100;8911b4c34a7ffff;3132.4485515259767;1;1;5;4;32
101;8911b4c3563ffff;2299.751967009813;1;0;6;1;0
102;8911b4c35d7ffff;4078.97418746566;1;0;2;0;0
103;8911b4c35dbffff;6212.55251020565;2;0;1;6;88
104;8911b4c3577ffff;1300.2058461141885;1;0;1;5;14
105;8911b4c351bffff;2149.4896035367533;1;0;0;3;10
106;8911b4c34afffff;4997.54772497912;1;0;5;0;0
107;8911b4c3433ffff;3033.949785429516;0;0;2;0;0
108;8911b4d1b63ffff;967.9405103824304;1;0;1;0;0
109;8911b4c34a3ffff;2221.9414839370843;2;1;2;8;12
110;8911b4c359bffff;344.4811033933245;2;0;0;6;2
111;8911b4c35c7ffff;1489.2687060024248;0;3;5;4;2
112;8911b4c34b7ffff;565.5822830167857;3;2;5;7;26
113;8911b4c34bbffff;1188.8785593048735;2;0;1;3;6
114;8911b4c10dbffff;1908.8464817306844;1;0;0;2;6
115;8911b4c3197ffff;1172.5681989041532;0;0;5;6;32
116;8911b4c224bffff;2402.5754894126558;2;1;2;5;30
117;8911b4c3507ffff;200.3881480171345;1;0;0;0;0
118;8911b4c3187ffff;1237.233419866759;0;0;2;0;0
119;8911b4c22c3ffff;3263.947987171976;4;0;3;1;0
120;8911b4c22d7ffff;809.4941948273481;1;0;4;2;0
121;8911b4c2283ffff;2530.298854468057;0;0;0;0;0
122;8911b4c228bffff;1055.9643342274355;7;0;5;9;3
123;8911b4c22d3ffff;2149.0877140330585;1;0;1;2;0
124;8911b4c229bffff;401.4841384946416;1;0;4;13;8
125;8911b4c286fffff;1946.3863548222498;1;0;0;7;46
126;8911b4c2ad7ffff;4245.787788481692;1;0;4;7;26
127;8911b4c2bd3ffff;2587.2896431800164;0;0;4;0;0
128;8911b4c2a9bffff;5115.5552287543915;3;0;2;4;0
129;8911b4c2aa7ffff;5524.311348211088;0;0;0;10;4
130;8911b4c2a8bffff;6391.053001234604;2;0;2;1;0
131;8911b4c2e6fffff;4993.560656705658;3;1;1;1;0
132;8911b4c2a83ffff;6784.821589538395;4;2;3;1;0
133;8911b4c2aafffff;891.0298279168354;1;0;0;1;0
134;8911b4c2a8fffff;4559.191043353631;0;0;0;2;0
135;8911b4c2aa3ffff;5738.9698518577015;3;1;2;6;0
136;8911b4c286bffff;4096.417985274707;3;0;6;9;26
137;8911b4c2863ffff;6222.098251178063;2;0;0;3;12
138;8911b4c2857ffff;1936.4469531336467;5;2;8;3;0
139;8911b4c287bffff;4184.838177613658;2;0;2;6;0
140;8911b4c2803ffff;939.1512596477866;8;0;2;10;14
141;8911b4c281bffff;3397.0475536746508;0;0;1;1;0
142;8911b4c2ab7ffff;4747.090144178341;1;0;3;9;0
143;8911b4c28cfffff;448.36402896808914;1;0;6;7;16
144;8911b4c28abffff;791.9950543141235;2;0;1;1;0
145;8911b4c288fffff;3487.0932715078397;1;0;0;5;0
146;8911b4c2817ffff;2980.10981668629;5;1;12;13;2
147;8911b4c2847ffff;2343.721510354849;1;0;0;1;0
148;8911b4c2873ffff;2900.6230844588495;0;0;0;6;26
149;8911b4c28bbffff;1273.627937505648;3;0;6;2;0
150;8911b4c2807ffff;360.31216205009747;0;0;5;0;0
151;8911b4c05d3ffff;717.289139760777;1;3;4;7;10
152;8911b4c236bffff;2440.6619733399552;2;1;7;3;10
153;8911b4c040fffff;4274.4393930930555;7;1;7;0;0
154;8911b4c0553ffff;1364.4670308056714;0;1;3;0;0
155;8911b4c055bffff;1010.5352786166393;1;0;9;0;0
156;8911b4c04abffff;3897.8896711738216;4;2;10;3;48
157;8911b4c043bffff;954.7546760702933;5;4;8;7;62
158;8911b4c042bffff;1235.3482668652816;1;8;13;4;16
159;8911b4c0433ffff;1999.5174243662518;1;3;7;0;0
160;8911b4c0407ffff;871.3673320773656;4;3;6;2;49
161;8911b4c04bbffff;1637.2759077905137;7;1;6;11;22
162;8911b4c0437ffff;524.5472556225154;2;0;13;3;2
163;8911b4c04afffff;1324.6729166228001;1;2;6;1;0
164;8911b4c0417ffff;1120.4222705005845;1;3;3;0;0
165;8911b4c0473ffff;491.2317559362074;3;0;5;5;0
166;8911b4c0477ffff;409.1546414587906;3;1;3;6;80
167;8911b4c284fffff;1440.9028897352734;1;1;0;8;18
168;8911b4c2ab3ffff;1546.2305910114014;2;0;2;8;0
169;8911b4c31b7ffff;1657.9846910663837;3;0;1;6;17
170;8911b4c226bffff;1856.327831858034;1;0;2;0;0
171;8911b4c31a3ffff;704.7435436740418;1;0;0;0;0
172;8911b4c227bffff;298.0268097307055;2;0;7;7;8
173;8911b4c1503ffff;770.8550875129324;3;0;0;3;2
174;8911b4c150fffff;2201.8674132354;4;0;0;4;16
175;8911b4c151bffff;1238.903669547329;1;0;1;6;3
176;8911b4c1547ffff;1107.88867382056;0;1;2;6;28
177;8911b4c1427ffff;90.5636362195294;0;0;0;3;2
178;8911b4c150bffff;2457.832733461859;4;1;2;3;14
179;8911b4c1557ffff;2782.965871632171;1;0;2;0;0
180;8911b4c155bffff;2286.462439588946;2;0;1;5;0
181;8911b4c1553ffff;1095.057244839434;0;0;1;2;2
182;8911b4c1543ffff;1011.1299152820807;0;0;2;0;0
183;8911b4c2acbffff;2129.0190344056305;0;0;0;3;2
184;8911b4c05afffff;5094.154953633021;1;0;2;8;30
185;8911b4c2ac7ffff;1558.2178394796665;0;0;2;0;0
186;8911b4c2e63ffff;1166.6736809836152;1;0;1;0;0
187;8911b4c2a13ffff;1130.611475194047;0;0;0;7;4
188;8911b4c2ac3ffff;3591.852493302276;1;0;2;0;0
189;8911b4c2adbffff;3611.758484941147;1;1;0;2;6
190;8911b4c2a93ffff;1451.6206896652943;2;0;0;7;18
191;8911b4c1213ffff;4128.786283873774;1;0;1;0;0
192;8911b4c1287ffff;3831.2572114111717;1;0;0;7;8
193;8911b4c128fffff;3225.0337574533983;1;1;1;4;0
194;8911b4c128bffff;653.5202693092008;0;0;0;1;0
195;8911b4c12bbffff;1846.4160304767286;2;0;0;6;8
196;8911b4c12b3ffff;1356.2195854441588;0;0;0;5;4
197;8911b4c2877ffff;2764.553295319274;0;0;0;1;0
198;8911b4c2867ffff;1917.8853444083638;0;0;0;0;0
199;8911b4c2333ffff;90.06257106679271;0;0;0;0;0
200;8911b4c040bffff;260.99243078512296;0;0;7;5;0
201;8911b4c2c03ffff;145.98757242909926;1;0;1;5;0
202;8911b4c0423ffff;593.1151093809099;1;2;11;4;4
203;8911b4c2c6fffff;2765.578022961383;0;0;1;7;0
204;8911b4c2843ffff;858.2526142318961;0;0;0;2;6
205;8911b4c2033ffff;23.058339500401058;0;0;0;0;0
206;8911b4c2003ffff;1722.0872883281222;2;0;0;1;0
207;8911b4c0533ffff;1296.9044603493871;5;0;0;4;0
208;8911b4c044fffff;2051.299410143758;1;2;6;3;8
209;8911b4c0443ffff;526.769731727987;3;0;1;3;22
210;8911b4c236fffff;1145.862547886859;1;2;4;4;0
211;8911b4c23b7ffff;276.32797756556135;3;0;2;3;0
212;8911b4c0097ffff;381.3010627952725;1;2;2;1;0
213;8911b4c05cfffff;639.0247447875602;0;1;0;2;0
214;8911b4d4673ffff;152.32180693596388;2;0;2;8;24
215;8911b4d467bffff;62.69631620832124;0;0;0;0;0
216;8911b4c15afffff;2122.587554457667;2;3;3;3;16
217;8911b4c15a7ffff;1653.3323839235547;1;0;5;0;0
218;8911b4c1637ffff;2955.7338676671156;6;1;2;12;24
219;8911b4c16abffff;1625.5672223489753;0;0;6;7;0
220;8911b4c16afffff;2962.2711769303874;0;0;1;0;0
221;8911b4c10c3ffff;300.05469383984354;1;0;0;3;12
222;8911b4c1633ffff;1688.4356722158282;3;1;4;5;0
223;8911b4c1623ffff;2338.250775634133;0;1;6;6;0
224;8911b4c0447ffff;1189.1261261767684;4;0;7;7;96
225;8911b4c1463ffff;131.36069265009627;0;0;1;3;4
226;8911b4c1467ffff;209.41060736057128;0;0;3;6;12
227;8911b4c201bffff;996.7792960775479;0;0;6;7;12
228;8911b4c2057ffff;428.11286555274586;2;0;1;0;0
229;8911b4c200fffff;404.3572898738576;1;1;1;9;24
230;8911b4c206bffff;598.2216450334703;0;0;0;3;0
231;8911b4c20bbffff;86.07339042415327;0;0;0;0;0
232;8911b4c3487ffff;2263.755384451334;2;0;5;0;0
233;8911b4c15a3ffff;234.31102246040956;1;0;4;4;16
234;8911b4c15b7ffff;90.90660110761004;0;0;1;0;0
235;8911b4d4603ffff;126.64132619587838;6;2;3;1;0
236;8911b4d460fffff;174.83798521381192;5;2;5;4;24
237;8911b4c2303ffff;619.2269020282268;0;0;0;0;0
238;8911b4c230bffff;1129.822657274929;1;0;2;4;20
239;8911b4c231bffff;271.4091454574865;1;0;1;4;14
240;8911b4c31c7ffff;549.4911053969819;0;0;4;0;0
241;8911b4c318fffff;776.6313101912376;1;1;3;9;30
242;8911b4c34b3ffff;1686.1675663790998;1;0;1;3;26
243;8911b4d1b4fffff;3316.943350944641;0;0;0;1;0
244;8911b4c34abffff;3394.2063190961076;2;1;0;5;0
245;8911b4c352fffff;242.2534112762478;2;1;4;7;32
246;8911b4c147bffff;2217.804371552014;0;0;0;0;0
247;8911b4c16b7ffff;3248.4154860052763;1;0;0;7;8
248;8911b4c2357ffff;317.6584879411092;2;1;0;3;20
249;8911b4c2343ffff;1353.1764843744122;0;0;0;1;0
250;8911b4c2347ffff;371.417177142398;1;1;2;2;0
251;8911b4c3503ffff;1919.3969733068286;0;0;1;3;10
252;8911b4c3037ffff;2971.7664612832436;0;0;0;6;8
253;8911b4c05c7ffff;1103.1495404107272;2;1;6;0;0
254;8911b4c051bffff;291.6768829984649;0;0;0;1;0
255;8911b4c16b3ffff;3884.8304596713;0;0;1;3;0
256;8911b4c05abffff;1564.9758656701129;1;1;3;8;30
257;8911b4c3483ffff;340.817652695863;0;0;0;0;0
258;8911b4c348fffff;1336.7919395345107;3;0;1;6;12
259;8911b4c2103ffff;690.9852031352485;1;0;0;13;44
260;8911b4c35cbffff;1047.2562321829762;0;1;5;1;0
261;8911b4c3437ffff;1818.4454229497321;0;0;2;1;0
262;8911b4c154bffff;605.6323657462763;1;0;1;8;28
263;8911b4c16a3ffff;1225.676164138678;1;0;0;7;8
264;8911b4c0537ffff;1722.6758879034696;0;0;0;3;2
265;8911b4c31a7ffff;2958.1594645555547;3;1;3;9;44
266;8911b4c144bffff;1601.8126603244614;0;0;0;4;0
267;8911b4c144fffff;1376.420243284764;0;0;0;1;0
268;8911b4c1687ffff;3468.5189900666683;4;1;0;18;8
269;8911b4c16bbffff;4213.91563288924;2;1;2;18;4
270;8911b4c1217ffff;2133.4433327861925;0;0;0;6;8
271;8911b4c1203ffff;199.01475686489442;0;0;0;4;8
272;8911b4c2363ffff;2841.9676987082075;3;0;2;14;30
273;8911b4c219bffff;1346.7560882522796;0;0;0;1;0
274;8911b4c2183ffff;708.4751299212326;0;0;0;0;0
275;8911b4c2133ffff;342.11499930465277;2;0;3;8;32
276;8911b4c0597ffff;631.7009029785297;0;1;5;1;0
277;8911b4c168fffff;3073.0155618015715;0;0;0;12;4
278;8911b4c0543ffff;56.370065004439496;0;0;5;0;0
279;8911b4c317bffff;575.6007104128485;0;0;3;0;0
280;8911b4c3033ffff;3333.804382769605;1;0;1;3;2
281;8911b4c3023ffff;1583.569492103925;1;1;1;3;2
282;8911b4c30abffff;484.99758264429073;0;0;0;3;4
283;8911b4c3007ffff;5923.118228524391;0;0;0;0;0
284;8911b4c3017ffff;2273.354042874206;1;0;1;6;4
285;8911b4c280bffff;401.8559379919035;0;0;5;1;0
286;8911b4c10b3ffff;473.44705181859774;0;0;0;3;0
287;8911b4c2e83ffff;22.180398936962852;0;0;0;0;0
288;8911b4c058bffff;77.6129131275925;0;1;3;5;14
289;8911b4c1617ffff;1114.5174531638102;0;0;1;7;0
290;8911b4c358bffff;144.48140065364018;0;0;0;3;2
291;8911b4c20cfffff;1209.5077081560164;0;0;3;12;19
292;8911b4c2e77ffff;532.8730171130329;0;0;0;0;0
293;8911b4c3003ffff;1438.115507389976;0;0;0;0;0
294;8911b4c04b7ffff;11.703938363828359;1;0;1;33;143
295;8911b4c30b3ffff;337.62698436110156;1;0;7;0;0
296;8911b4c0043ffff;187.3580971734508;1;0;0;4;4
297;8911b4d460bffff;50.62134719126008;1;0;4;1;0
298;8911b4c303bffff;355.1047693342919;0;0;0;0;0
299;8911b4c2bd7ffff;902.7058566699982;0;0;0;0;0
300;8911b4c0557ffff;32.593368641237554;0;0;1;0;0
301;8911b4d536fffff;378.90228008822686;0;0;0;0;0
302;0;38069.27901893714;95;30;84;596;408
303;8911b4c352bffff;533.9338365761579;0;1;0;6;18
304;8911b4c04dbffff;1316.0740617599408;1;0;3;4;22
305;8911b4c2dd7ffff;168.33367511112147;0;0;0;6;6
306;8911b4d4617ffff;67.4217634161452;0;0;2;4;0
307;891f4d6d90fffff;1180.1285213799804;2;0;1;3;0
308;891f4d6d973ffff;1985.984803072996;4;1;1;2;0
309;891f4d6d90bffff;1443.334949776048;1;1;1;3;0
310;891f4d6d137ffff;441.45476940623536;0;0;0;0;0
311;891f4d6d917ffff;2363.363612581327;2;1;3;1;0
312;891f4d6db9bffff;2893.9474205416386;0;0;4;0;0
313;891f4d6c8cbffff;915.5424830471317;1;0;4;2;0
314;891f4d6ce37ffff;1915.1965099947959;3;0;2;0;0
315;891f4d6c14bffff;2538.3170322824876;1;1;1;1;0
316;891f4d6c817ffff;495.72430836338674;2;0;1;2;0
317;891f4d6cc8bffff;1431.7489124178796;2;1;3;1;0
318;891f4d6cec3ffff;2403.8288676552897;2;2;0;4;0
319;891f4d6ceb3ffff;1312.2500581840864;2;0;0;1;0
320;891f4d6d877ffff;664.5654638717554;1;0;0;0;0
321;891f4d6c17bffff;2661.332172651189;0;0;1;0;0
322;891f4d6c397ffff;2215.904795394359;3;0;1;2;0
323;891f4d6d97bffff;4812.659629669406;2;0;2;2;0
324;891f4d6c357ffff;465.7923958545698;2;1;2;2;0
325;891f4d6dc97ffff;804.2210613718674;1;0;4;3;0
326;891f4d6c333ffff;641.6326151353057;2;0;1;0;0
327;891f4d6c323ffff;406.0853049421282;1;0;4;0;0
328;891f4d6d9d7ffff;970.7666397511608;1;0;1;1;0
329;891f4d6d93bffff;260.497021562414;0;0;3;0;0
330;891f4d6c15bffff;2726.1268426871966;2;0;1;1;0
331;891f4d6d92bffff;1054.7903144473291;1;0;2;1;0
332;891f49d64d7ffff;2247.06859883072;2;0;1;1;0
333;891f4d6c857ffff;1380.917850884533;0;0;0;2;0
334;891f4d6de8fffff;152.43401609081653;0;0;0;0;0
335;891f4d6cb6fffff;245.23219286261718;2;0;0;3;0
336;891f4d6e857ffff;1355.9053077109293;2;0;1;4;5
337;891f4d6dcd3ffff;26.697341707081453;1;0;0;0;0
338;891f4d6d907ffff;1862.7219088171557;0;1;1;1;0
339;891f4d6d983ffff;1461.3434678015149;1;0;1;7;0
340;891f4d6c853ffff;1935.2670404546498;0;0;0;2;0
341;891f4d6c143ffff;273.4185775375692;0;0;1;1;0
342;891f4d6c813ffff;362.81590528584616;3;1;2;0;0
343;891f4d6c337ffff;2535.172467139439;1;1;1;2;0
344;891f4d6d963ffff;1738.5028108608094;0;0;3;0;0
345;891f4d6d947ffff;3185.1642721568332;0;0;3;3;0
346;891f4d6ea43ffff;681.3439513680513;0;0;0;0;0
347;891f4d6c02fffff;794.4186775717053;0;0;3;1;0
348;891f4d6d903ffff;1802.5730827227787;1;0;2;0;0
349;891f4d6cb5bffff;769.0507510292477;0;1;0;5;5
350;891f4d6d80fffff;2118.5217191037946;1;0;1;2;0
351;891f4d6dc4bffff;362.66342527709276;0;0;0;0;0
352;891f4d6d937ffff;3231.342661275998;0;0;0;1;0
353;891f4d6d8a7ffff;1376.797046096004;3;0;6;3;0
354;891f4d6c8cfffff;398.703409173567;3;1;3;3;2
355;891f4d6db93ffff;3310.726683843471;1;0;1;1;0
356;891f4d6dcdbffff;184.7155140211922;2;0;1;0;0
357;891f4d6d98fffff;1060.5141806007698;3;4;11;3;0
358;891f4d6ea67ffff;4788.784589363974;2;0;1;0;0
359;891f4d6c14fffff;1065.3934780759812;0;0;2;0;0
360;891f4d6c803ffff;185.45419083278802;2;0;1;1;0
361;891f4d6cecbffff;1062.7150729550162;0;0;0;1;0
362;891f4d6dddbffff;997.4285148690443;0;0;0;0;0
363;891f4d6cc83ffff;961.6139227463902;0;1;0;6;0
364;891f4d6d957ffff;3391.4277332963147;5;1;9;2;0
365;891f49d648fffff;3459.388485535179;1;1;1;2;2
366;891f49d6493ffff;1744.6750012485395;1;0;2;5;4
367;891f4d6debbffff;246.04859331396406;2;0;2;3;2
368;891f4d6d933ffff;5539.372988477799;4;0;1;2;0
369;891f4d6d91bffff;1818.971950474284;1;1;3;4;0
370;891f4d6e873ffff;3962.6635127110203;0;0;1;1;0
371;891f4d6c3abffff;1919.8567575299442;0;0;6;3;0
372;891f4d6d923ffff;3029.7534744594545;1;0;2;1;0
373;891f4d6ca6fffff;539.7761990305964;2;0;0;0;0
374;891f4d6d863ffff;105.88230511765808;0;0;0;1;0
375;891f4d6e8cfffff;2308.426290503145;0;0;1;0;0
376;891f4d6ddc3ffff;259.70655333013053;0;0;2;3;3
377;891f4d6ce33ffff;1246.9368480891235;0;0;3;1;0
378;891f4d6dd8bffff;88.447020588662;0;0;4;1;0
379;891f4d6d83bffff;1387.4595282255932;1;0;1;1;0
380;891f4d6d833ffff;616.0296853885527;0;0;0;1;0
381;891f4d6deb3ffff;474.08579992538586;3;0;4;7;4
382;891f49d6487ffff;3474.7721472246085;2;0;1;2;2
383;891f4d6ddb7ffff;695.5885684785397;3;4;19;10;4
384;891f49d6413ffff;2031.5398850695142;2;1;0;2;2
385;891f4d6cb4bffff;4102.428356504092;1;0;0;0;0
386;891f4d6dbd7ffff;1160.6687829823977;4;0;0;2;0
387;891f4d6c3b7ffff;1127.8340602458043;5;0;2;0;0
388;891f4d6c8dbffff;883.1201450663475;2;0;3;2;0
389;891f4d6db83ffff;534.0257271408288;0;0;5;6;0
390;891f4d6ea77ffff;4459.486290923229;1;0;1;4;3
391;891f4d6d953ffff;895.9018164619262;2;2;5;5;0
392;891f49d6403ffff;172.49218695739367;1;0;0;1;0
393;891f49d64bbffff;763.355764414614;2;0;1;0;0
394;891f49d6497ffff;660.2259991036436;4;0;3;1;0
395;891f4d6d977ffff;341.45073505914377;2;0;1;0;0
396;891f49d64c7ffff;1477.5654358812033;1;4;2;7;4
397;891f4d6c35bffff;2191.9288731452016;0;0;2;2;0
398;891f4d6dd6bffff;319.9944962667029;0;0;0;2;0
399;891f4d6c81bffff;1448.3189336301227;2;0;2;1;0
400;891f4d6d9d3ffff;2515.3656845479836;3;0;2;0;0
401;891f4d6e84fffff;4531.577980671134;3;0;4;2;0
402;891f4d6d86fffff;103.86647662051355;0;0;1;2;0
403;891f4d6cedbffff;1260.957723133894;1;1;0;2;0
404;891f49d6417ffff;50.938683129835184;0;1;0;0;0
405;891f4d6cc9bffff;1585.164619275836;2;0;1;0;0
406;891f4d6d943ffff;1636.4802155956993;2;0;3;2;0
407;891f4d6c3cfffff;108.3873342583021;0;0;0;0;0
408;891f49d648bffff;1328.2623409483317;0;0;4;0;0
409;891f4d6dccbffff;189.4142138504763;1;0;0;0;0
410;891f4d6ce23ffff;1488.1388070069597;0;0;0;0;0
411;891f4d6c85bffff;1402.9374233875567;0;0;0;0;0
412;891f4d6c3afffff;2500.6632586824635;2;1;3;2;0
413;891f4d6ea4fffff;177.92974230481107;0;0;3;0;0
414;891f4d6ea0fffff;209.35255248541748;1;0;1;4;5
415;891f4d6ca2fffff;2679.8960358701584;2;0;3;4;4
416;891f4d6c163ffff;419.78916291919654;1;0;2;4;0
417;891f4d6c353ffff;388.98777347905144;2;0;3;2;0
418;891f4d6dda3ffff;473.87623665735634;2;7;7;1;0
419;891f4d6dcc3ffff;254.39515353703487;1;0;0;2;0
420;891f4d6c3a7ffff;864.5345556587008;1;1;1;0;0
421;891f4d6ddb3ffff;1087.0637775589412;0;5;4;2;0
422;891f4d6ce43ffff;613.2519357492661;3;0;0;6;0
423;891f4d6ea3bffff;464.26787046801326;0;0;2;1;0
424;891f4d6cc43ffff;1359.228161347748;1;0;0;0;0
425;891f49d64b3ffff;887.7096300741615;1;0;2;0;0
426;891f4d6eab7ffff;4370.036157317731;1;0;0;9;0
427;891f4d6d9bbffff;1347.9833370324493;0;0;1;0;0
